WHC,20190218,4.6,4.695,4.54,4.55,9257864
WHF,20190218,4.4,4.41,4.39,4.39,15780
WHK,20190218,0.063,0.068,0.063,0.067,575261
WIC,20190218,1.08,1.08,1.08,1.08,47457
WKT,20190218,0.1,0.1,0.1,0.1,40000
WLD,20190218,0.061,0.061,0.061,0.061,10000
WLE,20190218,1.13,1.135,1.125,1.13,614478
WLL,20190218,5.15,5.15,5,5,4541
WMC,20190218,0.018,0.018,0.018,0.018,78618
WMI,20190218,1.26,1.27,1.24,1.26,120768
WMK,20190218,0.84,0.84,0.835,0.835,373311
WND,20190218,0.87,0.925,0.86,0.905,561012
WOR,20190218,15.28,15.51,15.28,15.34,1009988
WOW,20190218,30.26,30.43,30.16,30.24,1069427
WPL,20190218,36.61,37.1,36.51,36.89,3380233
WPP,20190218,0.565,0.565,0.53,0.535,114887
WQG,20190218,1.065,1.07,1.065,1.07,86507
WRM,20190218,0.006,0.006,0.006,0.006,794150
WSA,20190218,2.43,2.56,2.43,2.51,2155014
WSI,20190218,0.023,0.023,0.023,0.023,559860
WTC,20190218,22.74,23.14,22.57,22.64,507899
WWI,20190218,0.009,0.009,0.008,0.008,1403721
WZR,20190218,0.063,0.066,0.059,0.06,2575817
XAM,20190218,0.105,0.11,0.098,0.105,2292305
XF1,20190218,0.49,0.49,0.49,0.49,2150
XIP,20190218,1.58,1.6,1.58,1.6,28954
XRO,20190218,48.99,49,48.07,48.67,298546
XST,20190218,0.003,0.003,0.003,0.003,6249167
XTD,20190218,0.03,0.03,0.023,0.023,2519103
XTE,20190218,0.4,0.4,0.385,0.385,108141
YAL,20190218,3.14,3.14,3.14,3.14,24
YOJ,20190218,0.088,0.088,0.081,0.081,669311
YOW,20190218,0.07,0.07,0.069,0.069,43200
YPB,20190218,0.013,0.013,0.012,0.012,660367
YRL,20190218,0.22,0.22,0.22,0.22,19950
Z1P,20190218,1.375,1.44,1.375,1.43,1458852
ZEL,20190218,5.83,5.84,5.81,5.83,2536
ZEN,20190218,0.7,0.7,0.69,0.695,386522
ZIP,20190218,0.015,0.015,0.015,0.015,332003
ZLD,20190218,0.059,0.06,0.057,0.059,500129
ZMI,20190218,0.005,0.005,0.005,0.005,622000
ZNC,20190218,0.07,0.075,0.07,0.075,18000
XAF,20190218,5917.7,5966.9,5917.7,5943.7,0
XAO,20190218,6148.6,6196.9,6148.6,6170.7,0
XAT,20190218,6013.2,6062.4,6013.2,6037,0
XDJ,20190218,2263.2,2281.1,2260.7,2262.9,0
XEC,20190218,1280.3,1295.4,1280.3,1284.4,0
XEJ,20190218,11388.4,11615.3,11388.4,11566.9,0
XFJ,20190218,5779.8,5824.7,5769.2,5780.7,0
XFL,20190218,5964,6014.8,5964,5991.4,0
XGD,20190218,5969.6,6084.9,5969.6,6031.2,0
XHJ,20190218,29307.6,29699.8,29307.6,29533.9,0
XIJ,20190218,1236.4,1247.2,1235,1238.5,0
XJO,20190218,6066.1,6115.7,6066.1,6089.8,0
XJR,20190218,4642.7,4724.7,4642.7,4705.3,0
XKO,20190218,6013.4,6062,6013.4,6037.1,0
XMD,20190218,6547.2,6595.4,6547.2,6559.2,0
XMJ,20190218,12694.7,12887.4,12694.7,12821.1,0
XMM,20190218,4163.6,4237.9,4163.6,4216.5,0
XNJ,20190218,6105.9,6109.2,6044.9,6061.2,0
XPJ,20190218,1500.7,1512.5,1494.8,1509.1,0
XSJ,20190218,10803.3,10915.2,10803.3,10830.4,0
XSO,20190218,2726.2,2744.4,2725.7,2731.2,0
XTJ,20190218,1133.4,1145.2,1133,1144.7,0
XTL,20190218,3365,3394.6,3365,3382.3,0
XTO,20190218,4989.2,5030.6,4989.2,5010.2,0
XUJ,20190218,7947.9,8014,7947.9,7970,0
XXJ,20190218,6446.4,6496.5,6434.6,6447.4,0
